id,car_variant,year_of_vehicle_manufacture,month_of_vehicle_manufacture,odometer_reading,odometer_reading_present,vehicle_fuel_type,registered_color,vehicle_make,vehicle_model,accidental_vehicle,city,car_valuation
90,LXI Option,2015,10,,0,Petrol,,Maruti,Swift 2014-2021,,NEW DELHI,334426.0
303,VXI Optional,2015,8,148832.0,1,Petrol,,Maruti,Alto K10,,Udaipur,227600.0
559,LXI BS IV,2015,9,25000.0,1,Petrol + CNG,,Maruti,WAGON R,,Thane,425851.0
605,RXL,2019,1,,0,Petrol + CNG,,Renault,KWID,,Surat,390298.0
445,RXT,2016,2,,0,Petrol,,Renault,KWID 2015-2019,,Mandya,368048.0
324,kwid Rxt,2016,6,,0,Petrol,,Renault,kwid Rxt,,Tirukovilur,331739.0
414,Sharp CVT,2022,11,8536.0,1,Petrol,,MG,Hector,,Delhi,1726828.0
29,RENAULT DUSTER RXL,2012,12,,0,Diesel,,RENAULT INDIA PVT LTD,RENAULT DUSTER RXL,,Coimbatore,550843.0
143,VXi,2015,2,,0,Petrol,,Maruti,Ritz,,Bangalore,281093.0
390,ZDi Plus,2019,8,142729.0,1,Diesel,,Maruti,Ertiga,,Udaipur,964535.0
501,Asta,2015,1,84123.0,1,Diesel,,Hyundai,i20,,Nagpur,408000.0
180,SPORTZ VTVT BSIV,2016,10,,0,Petrol,,HYUNDAI,I20,,Chennai,571926.0
165,VTVT SX 1 6,2013,1,,0,Petrol,,HYUNDAI,VERNA,,Chennai,483178.0
221,XV DCI BSIV,2014,6,,0,Diesel,,NISSAN,SUNNY DCI XV BSIV,,Chennai,472896.0
623,VXI Optional,2021,1,113270.0,1,Petrol,,Maruti,CELERIO,,Ashok Nagar,574000.0
283,1.5 TDI MT,2017,1,,0,Diesel,,Skoda,Rapid,,Rajkot,619821.0
734,EX 4X2,2016,12,70357.0,1,Diesel,,Tata,Safari,,Lucknow,728623.0
719,1.5  MT,2015,8,25000.0,1,Petrol,,Honda,City,,Kalyan,595172.0
392,Sportz,2016,9,101200.0,1,Petrol,,Hyundai,Grand i10 Nios,,Bangalore,489644.0
209,1.2 Revotron XT,2020,11,47971.0,1,Petrol,,Tata,TIAGO,,Nagpur,543951.0
383,BMW 5200,2014,7,,0,Diesel,,BMW,BMW,,South Delhi,2612364.0
627,LXi,2023,3,1157.0,1,Petrol,,Maruti,Swift,,Delhi,604039.0
239,S CNG,2022,2,25634.0,1,Petrol + CNG,,Hyundai,Aura,,Bhiwandi,806500.0
648,7 Seater STD,2019,5,50999.0,1,Petrol + CNG,,Maruti,Eeco,,Sonipat,468734.0
126,Sportz,2020,8,41044.0,1,Petrol,,Hyundai,i20,,Morbi,692792.0
477,RXT,2017,5,68601.0,1,Petrol + CNG,,Renault,KWID,,Rajkot,328780.0
555,ZXi,2022,5,27503.0,1,Petrol,,Maruti,Swift,,Pune,704976.0
753,CNG LXI,2020,2,92058.0,1,Petrol + CNG,,Maruti,WAGON R,,Kolhapur,573100.0
440,1.2 HIGHLINE,2017,1,,0,Petrol,,Volkswagen,AMEO,,Rajkot,398041.0
167,VXI 1.2,2021,7,94525.0,1,Petrol,,Maruti,Dzire,,Mahabubnagar,660000.0
211,GTX Plus,2020,9,91825.0,1,Petrol,,Kia,Seltos,,Cuddapah,1638500.0
345,Zeta,2019,8,,0,Petrol,,Maruti,XL6,,Bangalore,926146.0
774,POLO 1 2 M PIHIGHLINE PLUS,2017,10,,0,Petrol,,Volkswagen,POLO 1 2 M PIHIGHLINE PLUS,,Pondicherry,571360.0
14,Sportz,2019,11,10831.0,1,Petrol,,Hyundai,Grand i10 Nios,,Ludh2670,635800.0
759,Camper,2014,6,147359.0,1,Diesel,,Mahindra,Bolero,,Bangalore,506400.0
137,GT TSI BSIV,2015,5,66427.0,1,Petrol,,Volkswagen,Polo,,Hyderabad,695300.0
134,Green VXI,2017,12,59644.0,1,Petrol + CNG,,Maruti,CELERIO,,Pune,470000.0
763,ZXI Plus AMT,2018,8,65000.0,1,Petrol,,Maruti,SWIFT,,Pune,777087.0
76,Vxi BSIV,2016,10,152659.0,1,Petrol + CNG,,Maruti,Swift,,Rajkot,456000.0
94,AMT ZXI BS IV,2020,11,80427.0,1,Petrol,,Maruti,Dzire,,Shivpuri,764600.0
122,AMAZE 1.2 V MT (I-VTEC),2016,2,,0,Petrol,,HONDA,AMAZE 1.2 V MT,,Noida,400334.0
612,1.4 CRDi Asta,2019,4,98469.0,1,Diesel,,Hyundai,i20,,Cuddalore,735900.0
224,Zeta,2016,3,88759.0,1,Petrol,,Maruti,Baleno,,Delhi,478648.0
223,2.0 Limited 4X4,2022,4,5447.0,1,Diesel,,Jeep,Compass,,Nizamabad,2848149.0
456,Vxi,2022,6,31728.0,1,Petrol,,Maruti,Swift,,Faridabad,677900.0
66,LXi,2018,3,96815.0,1,Petrol,,Maruti,Alto 800,,Jaipur,294600.0
660,LXi,2021,2,91597.0,1,Petrol,,Maruti,Swift,,Gurgaon,554614.0
